state,year,mean_ndvi
Kerala,2005,0.7269
Lakshadweep,2005,0.594
Maharashtra,2005,0.4276
Manipur,2005,0.7413
Meghalaya,2005,0.7231
Mizoram,2005,0.7888
Nagaland,2005,0.7583
Orissa,2005,0.5258
Punjab,2005,0.5212
Rajasthan,2005,0.2496
Sikkim,2005,0.4395
Tamil Nadu,2005,0.5009
Tripura,2005,0.7129
West Bengal,2005,0.5138
Arunachal Pradesh,2005,0.7374
Chandigarh,2005,0.4212
Dadra and Nagar Haveli,2005,0.4639
Daman and Diu,2005,0.4478
Puducherry,2005,0.5437
Bihar,2006,0.4627
Chhattisgarh,2006,0.5122
Jharkhand,2006,0.4839
Madhya Pradesh,2006,0.4225
Uttar Pradesh,2006,0.4511
Uttarakhand,2006,0.5079
Andaman and Nicobar,2006,0.796
Andhra Pradesh,2006,0.4761
Assam,2006,0.5954
Delhi,2006,0.3451
Goa,2006,0.6387
Gujarat,2006,0.3629
Haryana,2006,0.4494
Himachal Pradesh,2006,0.3549
Karnataka,2006,0.4607
Kerala,2006,0.728
Lakshadweep,2006,0.6056
Maharashtra,2006,0.4464
Manipur,2006,0.7369
Meghalaya,2006,0.7235
Mizoram,2006,0.7676
Nagaland,2006,0.7502
Orissa,2006,0.5358
Punjab,2006,0.5259
Rajasthan,2006,0.2529
Sikkim,2006,0.4585
Tamil Nadu,2006,0.5049
Tripura,2006,0.7007
West Bengal,2006,0.5133
Arunachal Pradesh,2006,0.7524
Chandigarh,2006,0.4074
Dadra and Nagar Haveli,2006,0.4919
Daman and Diu,2006,0.46
Puducherry,2006,0.5381
Bihar,2007,0.4698
Chhattisgarh,2007,0.516
Jharkhand,2007,0.4926
Madhya Pradesh,2007,0.4363
Uttar Pradesh,2007,0.454
Uttarakhand,2007,0.5086
Andaman and Nicobar,2007,0.7879
Andhra Pradesh,2007,0.4763
Assam,2007,0.5946
Delhi,2007,0.3537
Goa,2007,0.6005
Gujarat,2007,0.3826
Haryana,2007,0.4616
Himachal Pradesh,2007,0.3599
Karnataka,2007,0.4553
Kerala,2007,0.6963
Lakshadweep,2007,0.6121
Maharashtra,2007,0.45
Manipur,2007,0.7391
Meghalaya,2007,0.7256
Mizoram,2007,0.7438
Nagaland,2007,0.7632
Orissa,2007,0.5295
Punjab,2007,0.5459
Rajasthan,2007,0.2691
Sikkim,2007,0.4389
Tamil Nadu,2007,0.494
Tripura,2007,0.6969
West Bengal,2007,0.5125
Arunachal Pradesh,2007,0.7521
Chandigarh,2007,0.4139
